village_id_rand,treatment,total_bl_villavg,hindi_bl_villavg,math_bl_villavg,english_bl_villavg,total_ely1_villavg,hindi_ely1_villavg,math_ely1_villavg,english_ely1_villavg,total_ely2_villavg,hindi_ely2_villavg,math_ely2_villavg,english_ely2_villavg,total_ely3_villavg,hindi_ely3_villavg,math_ely3_villavg,english_ely3_villavg,child_female_villfrac,child_scst_villfrac,number_students
1,1,7.0512819,2.6410255,2.2307692,2.1794872,10.12,4.1199999,3.3199999,2.6800001,9,3.5999999,2.8,2.5999999,9.7368422,3.2105262,3.2631578,3.2631578,.48717949,.35897437,39
2,0,7.2692308,2.6538463,2.6153846,2,10.142858,4.2142859,3.3571429,2.5714285,10.428572,3.8571429,3.5,3.0714285,11.071428,4.6428571,3.3571429,3.0714285,.5,.69230771,26
3,1,6.1428571,2.1428571,2.0714285,1.9285715,9,3.5,2.75,2.75,5.8571429,1.7142857,1.8571428,2.2857144,9.3999996,2.8,3.4000001,3.2,.5714286,0,14
4,1,7.48,3,2.3199999,2.1600001,11.6,5.1999998,3.4666667,2.9333334,12.6,4.8666668,3.9333334,3.8,13.733334,4.8666668,4.5999999,4.2666669,.51999998,.16,25
5,0,5.352941,2,2.0588236,1.2941177,7.181818,2.909091,2.3636363,1.9090909,10.75,3.875,4,2.875,10.166667,3.6666667,3.6666667,2.8333333,.64705884,0,17
6,0,8.2666664,3.3666666,2.5999999,2.3,12.235294,4.7647057,3.8235295,3.6470587,11.411765,4.7647057,3.6470587,3,9.2352943,3.6470587,3.2352941,2.3529413,.5,.16666667,30
7,0,8.2058821,3.2352941,2.7352941,2.2352941,11.789474,5,3.9473684,2.8421052,11.578947,4.7894735,3.6315789,3.1578948,12.642858,4.7142859,4,3.9285715,.47058824,.47058824,34
8,0,7.4193549,3.0645161,2.4516129,1.9032258,9.6842108,4.0526314,3.1052632,2.5263157,10.294118,4.2941175,3.1764705,2.8235295,11.714286,5.2142859,3.4285715,3.0714285,.58064514,.96774191,31
9,0,8.8999996,3.7,3,2.2,10,4.375,2.9375,2.6875,11.166667,4.5833335,3.6666667,2.9166667,11.285714,4.1428571,3.7142856,3.4285715,.44999999,.89999998,20
10,0,7.6875,2.875,2.375,2.4375,13,5.3333335,4.1111112,3.5555556,12.25,4.75,4,3.5,10.888889,4.2222223,3.2222223,3.4444444,.5625,.375,16
11,0,6.4166665,2.5833333,2.0833333,1.75,10.2,4.5999999,2.5999999,3,8.625,3.625,2.625,2.375,8.4285717,3.2857144,2.7142856,2.4285715,.5,.75,12
